zip,source,json,mode,document_id,serie
z09002198340002504260597__4161ab9e9ad7739c.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002504260597__4161ab9e9ad7739c\ad09002198340002504260597.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL62041732.json,XML,DEFL62041732,DEFL
z0900219834000250426149e__5da5ec5b951d2f6c.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000250426149e__5da5ec5b951d2f6c\ad0900219834000250426149e.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL62045618.json,XML,DEFL62045618,DEFL
z090021983400025042615ae__0758a6452050d228.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025042615ae__0758a6452050d228\ad090021983400025042615ae.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL62045612.json,XML,DEFL62045612,DEFL
z09002198340002504262678__c612e0cf7300c4cd.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002504262678__c612e0cf7300c4cd\ad09002198340002504262678.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL62050081.json,XML,DEFL62050081,DEFL
z0900219834000250426443b__4cccb8f46032ce56.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000250426443b__4cccb8f46032ce56\ad0900219834000250426443b.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL62057458.json,XML,DEFL62057458,DEFL
z090021983400025044c3b87__999d4f1b6e19a5c2.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025044c3b87__999d4f1b6e19a5c2\ad090021983400025044c3b87.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL64487791.json,XML,DEFL64487791,DEFL
z090021983400025044c5b0f__af1365378fec36f7.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025044c5b0f__af1365378fec36f7\ad090021983400025044c5b0f.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL64495950.json,XML,DEFL64495950,DEFL
z090021983400025044c604a__7ab4d8bc3cafd62c.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025044c604a__7ab4d8bc3cafd62c\ad090021983400025044c604a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL64496959.json,XML,DEFL64496959,DEFL
z090021983400025044c633a__f9c58a46a6ad7af8.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025044c633a__f9c58a46a6ad7af8\ad090021983400025044c633a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL64497850.json,XML,DEFL64497850,DEFL
z090021983400025044c66af__fa3862ebbadbd93c.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025044c66af__fa3862ebbadbd93c\ad090021983400025044c66af.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL64498423.json,XML,DEFL64498423,DEFL
z090021983400025044c68c1__d52b6fd9e0e7385b.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025044c68c1__d52b6fd9e0e7385b\ad090021983400025044c68c1.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL64499236.json,XML,DEFL64499236,DEFL
z090021983400025044c78f2__3537958b7aebc6b3.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400025044c78f2__3537958b7aebc6b3\ad090021983400025044c78f2.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL64503851.json,XML,DEFL64503851,DEFL
