zip,source,json,mode,document_id,serie
z090021983400026052757b1__ea054f38cea0ec87.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052757b1__ea054f38cea0ec87\ad090021983400026052757b1.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78672920.json,XML,DEFL78672920,DEFL
z0900219834000260527f765__9f5ff799ab68d930.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260527f765__9f5ff799ab68d930\ad0900219834000260527f765.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78710320.json,XML,DEFL78710320,DEFL
z0900219834000260527fbf7__1c7cbcca61f30635.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260527fbf7__1c7cbcca61f30635\ad0900219834000260527fbf7.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78713121.json,XML,DEFL78713121,DEFL
z090021983400026052844cd__9174e70b59a2f308.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052844cd__9174e70b59a2f308\ad090021983400026052844cd.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78731050.json,XML,DEFL78731050,DEFL
z09002198340002605288b83__4f0a3c95f26d777c.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605288b83__4f0a3c95f26d777c\ad09002198340002605288b83.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78748523.json,XML,DEFL78748523,DEFL
z0900219834000260528f573__17a667429756d7a0.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260528f573__17a667429756d7a0\ad0900219834000260528f573.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78775653.json,XML,DEFL78775653,DEFL
z0900219834000260528f9c6__14ab2417c1b1b6ae.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260528f9c6__14ab2417c1b1b6ae\ad0900219834000260528f9c6.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78776980.json,XML,DEFL78776980,DEFL
z09002198340002605292f85__74dac671e6d0f063.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605292f85__74dac671e6d0f063\ad09002198340002605292f85.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78790284.json,XML,DEFL78790284,DEFL
z09002198340002605293d7b__a52e9f9d1a20cf41.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605293d7b__a52e9f9d1a20cf41\ad09002198340002605293d7b.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78793860.json,XML,DEFL78793860,DEFL
z09002198340002605295b91__a5ed74e9669a15d8.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605295b91__a5ed74e9669a15d8\ad09002198340002605295b91.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78801303.json,XML,DEFL78801303,DEFL
z09002198340002605295dcc__c337081507005d91.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605295dcc__c337081507005d91\ad09002198340002605295dcc.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78801863.json,XML,DEFL78801863,DEFL
z090021983400026052993bd__03fc62f5c9473474.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052993bd__03fc62f5c9473474\ad090021983400026052993bd.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78814903.json,XML,DEFL78814903,DEFL
z090021983400026052a8b5a__c3b376d2feb775d8.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052a8b5a__c3b376d2feb775d8\ad090021983400026052a8b5a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78876932.json,XML,DEFL78876932,DEFL
z090021983400026052a9912__7e3157c71253074f.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052a9912__7e3157c71253074f\ad090021983400026052a9912.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78880024.json,XML,DEFL78880024,DEFL
z090021983400026052a9b49__f97b6f39ffd57e77.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052a9b49__f97b6f39ffd57e77\ad090021983400026052a9b49.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78881072.json,XML,DEFL78881072,DEFL
z090021983400026052ab7f1__c5943d04c499b8e9.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052ab7f1__c5943d04c499b8e9\ad090021983400026052ab7f1.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78888141.json,XML,DEFL78888141,DEFL
z090021983400026052abfbb__9d03ebe674127604.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052abfbb__9d03ebe674127604\ad090021983400026052abfbb.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78890201.json,XML,DEFL78890201,DEFL
z090021983400026052ac5ba__0708adebf7739a7f.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052ac5ba__0708adebf7739a7f\ad090021983400026052ac5ba.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78891469.json,XML,DEFL78891469,DEFL
z090021983400026052acb72__858503caa60e67dc.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052acb72__858503caa60e67dc\ad090021983400026052acb72.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78892856.json,XML,DEFL78892856,DEFL
z090021983400026052ad192__8a8e7d01cd67c71f.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052ad192__8a8e7d01cd67c71f\ad090021983400026052ad192.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78894611.json,XML,DEFL78894611,DEFL
z090021983400026052ad516__5b478245fdb68f47.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052ad516__5b478245fdb68f47\ad090021983400026052ad516.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78895314.json,XML,DEFL78895314,DEFL
z090021983400026052ae85f__7b11d6c80316a1db.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052ae85f__7b11d6c80316a1db\ad090021983400026052ae85f.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL78900441.json,XML,DEFL78900441,DEFL
